timestamp,latitude,longitude,speed(m/s)
1577218712,-27.71783995,-51.0988767,0.10140178
1577218713,-27.71784016,-51.09887666,0.056577712
1577218714,-27.71784005,-51.09887629,0.033049334
1577218716,-27.71783921,-51.0988728,0.014422788
1577218717,-27.71783981,-51.09887445,0.022567842
1577218719,-27.71784034,-51.09887182,0.012744946
1577218720,-27.71784081,-51.09887078,0.009266041
1577218721,-27.71784066,-51.09886943,0.007163984
1577218723,-27.71784116,-51.09886629,0.005575264
1577218724,-27.71784124,-51.09886622,0.003451408
1577218726,-27.71784254,-51.09886492,0.005236584
1577218727,-27.71784245,-51.09886502,0.004776117
1577218729,-27.71784342,-51.09886471,0.016679863
1577218730,-27.7178431,-51.09886508,0.010623721
1577218731,-27.71784344,-51.09886482,0.00645793
1577218732,-27.7178437,-51.09886451,0.00384772
1577218733,-27.71784392,-51.09886464,0.003402715
1577218734,-27.71784389,-51.09886486,0.003064654
1577218735,-27.71784387,-51.09886456,0.005290777
1577218736,-27.71784396,-51.09886501,0.00680291
1577218737,-27.71784416,-51.0988638,0.006504585
1577218738,-27.71784455,-51.09886256,0.006575307
1577218739,-27.71784453,-51.09886188,0.007208326
1577218740,-27.71784457,-51.09886172,0.005444904
1577218741,-27.71784442,-51.09886177,0.007071925
1577218743,-27.71784445,-51.09886113,0.00617921
1577218744,-27.71784425,-51.09886074,0.005661708
1577218746,-27.71784416,-51.09886012,0.006693967
1577218747,-27.71784413,-51.09886048,0.007275528
1577218748,-27.71784412,-51.09886076,0.005012856
1577218750,-27.71784402,-51.09886067,0.006160361
1577218751,-27.71784386,-51.09886066,0.005289958
1577218753,-27.71784322,-51.09886048,0.007246581
1577218754,-27.71784297,-51.09886084,0.005336182
1577218756,-27.71784301,-51.09886124,0.010138623
1577218757,-27.7178429,-51.09886154,0.006220433
1577218759,-27.71784246,-51.09886257,0.004388425
1577218760,-27.71784226,-51.09886268,0.003743022
1577218762,-27.71784208,-51.09886262,0.00691804
1577218763,-27.71784182,-51.09886308,0.005190951
1577218765,-27.7178414,-51.09886349,0.00773618
1577218766,-27.71784107,-51.09886348,0.007298017
1577218768,-27.71784082,-51.09886398,0.006220039
1577218769,-27.7178407,-51.09886406,0.008256017
1577218771,-27.71784117,-51.09886396,0.027174877
1577218772,-27.71784136,-51.09886403,0.019135956
1577218773,-27.71784158,-51.09886392,0.010930963
1577218775,-27.71784189,-51.09886401,0.008121336
1577218776,-27.71784191,-51.09886407,0.007735534
1577218778,-27.71784209,-51.09886393,0.008312891
1577218779,-27.71784194,-51.09886412,0.006298441
1577218780,-27.71784204,-51.09886415,0.005128986
1577218781,-27.717842,-51.09886428,0.005299833
1577218782,-27.71784189,-51.09886459,0.004812425
1577218783,-27.71784147,-51.09886453,0.004397067
1577218784,-27.71784143,-51.0988647,0.005542196
1577218785,-27.71784124,-51.0988647,0.006763425
1577218786,-27.71784123,-51.0988651,0.006207266
1577218787,-27.71784141,-51.098865,0.005580023
1577218788,-27.71784143,-51.09886483,0.005464532
1577218789,-27.71784119,-51.09886503,0.006021432
1577218790,-27.71784118,-51.09886507,0.004274451
1577218792,-27.71784125,-51.09886498,0.006525377
1577218793,-27.71784122,-51.09886504,0.004392585
1577218795,-27.71784125,-51.09886514,0.008317395
1577218796,-27.71784096,-51.09886534,0.009127741
1577218798,-27.71784102,-51.09886489,0.009430938
1577218799,-27.71784105,-51.09886486,0.006526321
1577218801,-27.71784098,-51.09886513,0.014459572
1577218802,-27.71784097,-51.09886544,0.010425471
1577218803,-27.71784094,-51.09886564,0.007219286
1577218804,-27.71784098,-51.09886572,0.007333229
1577218805,-27.71784083,-51.09886589,0.008160071
1577218806,-27.7178408,-51.09886582,0.006387329
1577218807,-27.71784077,-51.09886578,0.005079954
1577218808,-27.7178408,-51.09886564,0.006101205
1577218809,-27.71784067,-51.09886585,0.005478006
1577218810,-27.7178404,-51.09886586,0.006026279
1577218811,-27.71784017,-51.09886571,0.007732545
1577218812,-27.71784002,-51.09886556,0.0068664
1577218814,-27.71783985,-51.09886511,0.005145509
1577218815,-27.71783997,-51.09886489,0.004211153
1577218817,-27.71784002,-51.09886459,0.005653969
1577218818,-27.71784,-51.09886451,0.005491193
1577218820,-27.71784004,-51.09886427,0.011352835
1577218821,-27.71783997,-51.09886411,0.008324196
1577218822,-27.71784004,-51.09886384,0.006855679
1577218823,-27.71784002,-51.09886354,0.006733132
1577218824,-27.71784003,-51.09886337,0.006166964
1577218825,-27.71783992,-51.09886333,0.011724102
1577218826,-27.71783985,-51.09886312,0.011723407
1577218827,-27.71783995,-51.09886301,0.007896191
1577218828,-27.71783994,-51.09886295,0.006117126
1577218829,-27.71783993,-51.09886269,0.006219313
1577218830,-27.71783978,-51.09886253,0.005998852
1577218831,-27.7178398,-51.09886265,0.007017244
1577218832,-27.71783986,-51.09886292,0.005648708
1577218833,-27.71783989,-51.09886296,0.005503676
1577218834,-27.71783984,-51.09886313,0.003907466
1577218835,-27.71784007,-51.09886324,0.005981363
1577218836,-27.71783998,-51.09886327,0.005312024
1577218837,-27.71783995,-51.09886312,0.005270687
1577218838,-27.71783991,-51.09886319,0.004983252
1577218839,-27.71783982,-51.09886312,0.004379726
1577218840,-27.71783992,-51.09886317,0.004352108
1577218842,-27.71783994,-51.0988635,0.004522821
1577218843,-27.71783978,-51.09886348,0.006214006
1577218845,-27.71783963,-51.09886374,0.004810105
1577218846,-27.71783975,-51.0988638,0.004594749
1577218847,-27.71783973,-51.09886385,0.006266764
1577218848,-27.71783986,-51.09886394,0.005442092
1577218849,-27.71783999,-51.09886403,0.003915556
1577218850,-27.71783997,-51.09886412,0.002525716
1577218851,-27.71783991,-51.09886404,0.006341435
1577218852,-27.71783997,-51.09886409,0.004834306
1577218853,-27.71784011,-51.09886419,0.004201248
1577218854,-27.71784021,-51.09886429,0.003143305
1577218855,-27.71784016,-51.09886414,0.013770038
1577218856,-27.71784026,-51.09886418,0.007771029
1577218858,-27.71784022,-51.0988644,0.006341425
1577218859,-27.71784027,-51.09886452,0.008911841
1577218860,-27.7178403,-51.0988646,0.005026563
1577218862,-27.71784029,-51.09886499,0.011327256
1577218863,-27.71784043,-51.0988651,0.00711017
1577218864,-27.71784053,-51.09886531,0.006699718
1577218866,-27.71784073,-51.09886511,0.008528782
1577218867,-27.71784078,-51.0988651,0.00660783
1577218869,-27.717841,-51.09886519,0.007009689
1577218870,-27.71784113,-51.09886527,0.00461218
1577218871,-27.71784124,-51.09886525,0.007321652
1577218873,-27.71784168,-51.0988657,0.007094103
1577218874,-27.71784163,-51.09886581,0.008172843
1577218875,-27.7178417,-51.09886576,0.007813916
1577218876,-27.71784174,-51.09886591,0.005916247
1577218877,-27.71784171,-51.09886587,0.006305955
1577218879,-27.71784174,-51.09886587,0.007511746
1577218880,-27.71784176,-51.09886595,0.005789588
1577218882,-27.71784169,-51.0988661,0.006732529
1577218883,-27.7178416,-51.0988661,0.005991676
1577218885,-27.71784176,-51.09886589,0.007024892
1577218886,-27.71784169,-51.09886591,0.00479785
1577218888,-27.71784157,-51.09886587,0.008167012
1577218889,-27.71784152,-51.09886576,0.005111691
1577218890,-27.71784158,-51.09886577,0.005123327
1577218892,-27.71783976,-51.09887167,0.29153633
1577218893,-27.71783542,-51.09888299,0.7176349
1577218895,-27.71781048,-51.09891941,1.7937591
1577218896,-27.71778717,-51.09894709,2.4579337
1577218897,-27.71775481,-51.09898489,3.236828
1577218899,-27.71768285,-51.0990671,4.299495
1577218900,-27.71764421,-51.09911266,8.194791
1577218902,-27.71752084,-51.09926333,10.885384
1577218903,-27.71744681,-51.09935054,11.802369
1577218905,-27.71729595,-51.09952053,11.827536
1577218906,-27.71721721,-51.09960889,12.219478
1577218907,-27.71713703,-51.09969959,12.489938
1577218908,-27.7170533,-51.09979334,13.021008
1577218911,-27.71677592,-51.10010286,15.143607
1577218912,-27.71667274,-51.10021514,15.863926
1577218913,-27.71656337,-51.10032975,16.560097
1577218914,-27.71645171,-51.10044298,16.64747
1577218919,-27.71588207,-51.10097978,17.14895
1577218920,-27.71575891,-51.10109038,17.503235
1577218921,-27.71563245,-51.10120233,17.874756
1577218922,-27.71550326,-51.10131732,18.23089
1577218923,-27.71537213,-51.1014336,18.548683
1577218924,-27.71523941,-51.10155184,18.797626
1577218925,-27.71510465,-51.10167084,19.040733
1577218926,-27.71496842,-51.10179128,19.261515
1577218927,-27.71483024,-51.10191298,19.49491
1577218928,-27.71469109,-51.10203716,19.700632
1577218929,-27.71455358,-51.10216071,19.518322
1577218930,-27.71441952,-51.10228273,19.144136
1577218931,-27.71428881,-51.10240592,18.913658
1577218932,-27.71415859,-51.10253365,19.14791
1577218933,-27.7140284,-51.10266738,19.57192
1577218934,-27.71389895,-51.10280826,19.98923
1577218935,-27.71377134,-51.10295686,20.376606
1577218936,-27.71364535,-51.10311354,20.766132
1577218937,-27.71352274,-51.1032769,21.08639
1577218938,-27.71340296,-51.10344696,21.362045
1577218939,-27.71327735,-51.10361517,21.610798
1577218940,-27.71316009,-51.10378901,21.831493
1577218941,-27.71303861,-51.10396363,22.031038
1577218942,-27.71291464,-51.10414646,22.342094
1577218943,-27.71279218,-51.10432875,22.504374
1577218944,-27.71267033,-51.10451367,22.735695
1577218945,-27.71254735,-51.10469988,22.814823
